,First_pokemon,Second_pokemon,Winner
676,Deoxys Normal Form,Buneary,Deoxys Normal Form
677,Giratina Origin Form,Regice,Giratina Origin Form
678,Croconaw,Steelix,Croconaw
679,Arcanine,Totodile,Arcanine
680,Xerneas,Houndour,Xerneas
681,Dusknoir,Monferno,Monferno
682,Aerodactyl,Karrablast,Aerodactyl
683,Carracosta,Omanyte,Omanyte
684,Zubat,Mega Aggron,Mega Aggron
685,Vaporeon,Ferrothorn,Ferrothorn
686,Carvanha,Drowzee,Carvanha
687,Black Kyurem,Panpour,Black Kyurem
688,Swadloon,Bunnelby,Bunnelby
689,Glaceon,Wormadam Trash Cloak,Glaceon
690,Swalot,Porygon-Z,Porygon-Z
691,Pidove,Whiscash,Pidove
692,Ivysaur,Murkrow,Murkrow
693,Squirtle,Tympole,Tympole
694,Froslass,Dragalge,Froslass
695,Deoxys Attack Form,Rhyperior,Deoxys Attack Form
696,Kirlia,Sealeo,Kirlia
697,Zapdos,Smoochum,Zapdos
698,Mega Gallade,Nidoran♂,Mega Gallade
699,Venonat,Sawk,Sawk
700,Groudon,Bunnelby,Groudon
701,Heracross,Aggron,Heracross
702,Dragonite,Marowak,Dragonite
703,Persian,Koffing,Persian
704,Zorua,Gogoat,Gogoat
705,Mime Jr.,Zekrom,Zekrom
706,Ledyba,Braviary,Braviary
707,Seaking,Primal Kyogre,Primal Kyogre
708,Dragonite,Piplup,Dragonite
709,Mega Audino,Pupitar,Pupitar
710,Greninja,Girafarig,Greninja
711,Reshiram,Clawitzer,Reshiram
712,Mow Rotom,Mamoswine,Mow Rotom
713,Hoopa Confined,Axew,Axew
714,Charmeleon,Zubat,Charmeleon
715,Mega Latios,Mega Steelix,Mega Latios
716,Tornadus Incarnate Form,Talonflame,Talonflame
717,Pancham,Houndoom,Houndoom
718,Dedenne,Cranidos,Dedenne
719,Mightyena,Stunfisk,Mightyena
720,Dialga,Wingull,Dialga
721,Wooper,Pawniard,Pawniard
722,Drapion,Mankey,Drapion
723,Primal Kyogre,Spewpa,Primal Kyogre
724,Mega Blaziken,Gliscor,Mega Blaziken
725,Hitmonchan,Mienfoo,Hitmonchan
726,Swablu,Stunfisk,Stunfisk
727,Mega Mawile,Tynamo,Tynamo
728,Mothim,Combee,Combee
729,Remoraid,Skitty,Remoraid
730,Starmie,Mega Manectric,Mega Manectric
731,White Kyurem,Yveltal,Yveltal
732,Sneasel,Elgyem,Sneasel
733,Lugia,Hawlucha,Hawlucha
734,Azumarill,Absol,Absol
735,Ledian,Wailmer,Ledian
736,Giratina Origin Form,Mega Sharpedo,Mega Sharpedo
737,Eelektrik,Nidorino,Nidorino
738,Buneary,Clamperl,Buneary
739,Milotic,Fennekin,Milotic
740,Walrein,Tranquill,Tranquill
741,Tangela,Petilil,Tangela
742,Skorupi,Tangela,Skorupi
743,Shellder,Mow Rotom,Mow Rotom
744,Watchog,Meloetta Aria Form,Meloetta Aria Form
745,Mega Abomasnow,Gastly,Mega Abomasnow
746,Piloswine,Dodrio,Dodrio
747,Vanilluxe,Cherubi,Vanilluxe
748,Magnemite,Shellos,Magnemite
749,Infernape,Mega Swampert,Infernape
750,Mega Kangaskhan,Pikachu,Mega Kangaskhan
751,Liepard,Dunsparce,Liepard
752,Mega Sharpedo,Mega Abomasnow,Mega Abomasnow
753,Swanna,Clefable,Swanna
754,Emboar,Ninjask,Ninjask
755,Keldeo Resolute Form,Volbeat,Keldeo Resolute Form
756,Horsea,Scrafty,Horsea
757,Combusken,Crobat,Crobat
758,Venipede,Staryu,Staryu
759,Tepig,Pansear,Pansear
760,Beldum,Pineco,Beldum
761,Mr. Mime,Ledian,Mr. Mime
762,Mega Audino,Meowstic Female,Meowstic Female
763,Landorus Incarnate Form,Magby,Landorus Incarnate Form
764,Lickilicky,Seismitoad,Seismitoad
765,Simipour,Dusknoir,Simipour
766,Mega Abomasnow,Jumpluff,Mega Abomasnow
767,Tyranitar,Burmy Plant Cloak,Tyranitar
768,Zoroark,Cubone,Zoroark
769,Zangoose,Haunter,Haunter
770,Solrock,Golduck,Golduck
771,Houndoom,Manectric,Manectric
772,Tyrogue,Arbok,Arbok
773,Vullaby,Timburr,Vullaby
774,Koffing,Sharpedo,Sharpedo
775,Misdreavus,Arbok,Misdreavus
776,Azelf,Giratina Altered Form,Azelf
777,Tynamo,Mega Blastoise,Mega Blastoise
778,Cascoon,Paras,Paras
779,Rhyhorn,Tyrogue,Tyrogue
780,Hoothoot,Shieldon,Hoothoot
781,Flareon,Volbeat,Volbeat
782,Heatmor,Poliwrath,Poliwrath
783,Cresselia,Chespin,Cresselia
784,Dodrio,Flabébé,Dodrio
785,Tynamo,Mega Glalie,Mega Glalie
786,Swalot,Drilbur,Drilbur
787,Dunsparce,Stoutland,Stoutland
788,Sharpedo,Primal Groudon,Sharpedo
789,Mew,Pignite,Mew
790,Gloom,Gardevoir,Gardevoir
791,Vibrava,Meloetta Aria Form,Meloetta Aria Form
792,Snubbull,Mantyke,Snubbull
793,Ivysaur,Gurdurr,Ivysaur
794,Gloom,Jynx,Jynx
795,Wormadam Plant Cloak,Exeggcute,Exeggcute
796,Elgyem,Grimer,Elgyem
797,Magby,Slowking,Slowking
798,Anorith,Durant,Durant
799,Munchlax,Bronzor,Munchlax
800,Shroomish,Kabutops,Kabutops
801,Sharpedo,Klinklang,Sharpedo
802,Rhyperior,Staryu,Rhyperior
803,Pumpkaboo Large Size,Mienfoo,Pumpkaboo Large Size
804,Joltik,Mega Camerupt,Mega Camerupt
805,Manaphy,Gastly,Manaphy
806,Mothim,Braviary,Braviary
807,Exeggutor,Pachirisu,Pachirisu
808,Lickitung,Lunatone,Lunatone
809,Manaphy,Venonat,Manaphy
810,Mismagius,Timburr,Mismagius
811,Riolu,Mega Blaziken,Mega Blaziken
812,Heliolisk,Audino,Heliolisk
813,Cryogonal,Weedle,Cryogonal
814,Phanpy,Elekid,Phanpy
815,Parasect,Garchomp,Garchomp
816,Espurr,Garchomp,Garchomp
817,Buneary,Braixen,Buneary
818,Kirlia,Magcargo,Kirlia
819,Linoone,Gliscor,Linoone
820,Aegislash Blade Form,Jigglypuff,Aegislash Blade Form
821,Beautifly,Shellos,Beautifly
822,Aerodactyl,Skitty,Aerodactyl
823,Gothitelle,Spinda,Gothitelle
824,Venipede,Mega Heracross,Mega Heracross
825,Beedrill,Seviper,Beedrill
826,Porygon-Z,Hoppip,Porygon-Z
827,Seaking,Deino,Seaking
828,Slowking,Chespin,Chespin
829,Electivire,Koffing,Electivire
830,Seadra,Zigzagoon,Seadra
831,Pignite,Murkrow,Murkrow
832,Dragalge,Slowpoke,Dragalge
833,Serperior,Hippowdon,Serperior
834,Marshtomp,Whirlipede,Marshtomp
835,Mega Gardevoir,Porygon,Mega Gardevoir
836,Primal Groudon,Dusclops,Primal Groudon
837,Sandile,Fletchinder,Fletchinder
838,Banette,Breloom,Breloom
839,Lapras,Hitmonchan,Hitmonchan
840,Mega Manectric,Tyranitar,Mega Manectric
841,Caterpie,Dragonite,Dragonite
842,Liepard,Gible,Liepard
843,Manaphy,Seadra,Manaphy
844,Skuntank,Espeon,Espeon
845,Gliscor,Dunsparce,Gliscor
846,Sealeo,Omastar,Omastar
847,Crawdaunt,Smeargle,Smeargle
848,Flabébé,Sentret,Flabébé
849,Hitmonchan,Chatot,Chatot
850,Ivysaur,Mega Absol,Mega Absol
851,Seviper,Toxicroak,Toxicroak
852,Swampert,Stantler,Stantler
853,Giratina Altered Form,Corsola,Giratina Altered Form
854,Oddish,Tyranitar,Tyranitar
855,Leafeon,Furret,Leafeon
856,Volcarona,Mega Steelix,Mega Steelix
857,Dratini,Mega Glalie,Mega Glalie
858,Pidove,Vullaby,Vullaby
859,Mega Medicham,Garchomp,Garchomp
860,Pachirisu,Fan Rotom,Pachirisu
861,Tyrantrum,Flabébé,Tyrantrum
862,Dialga,Mega Heracross,Dialga
863,Mothim,Elekid,Elekid
864,Purrloin,Diancie,Purrloin
865,Eevee,Flareon,Flareon
866,Gardevoir,Silcoon,Gardevoir
867,Unfezant,Manaphy,Manaphy
868,Geodude,Kadabra,Geodude
869,Noctowl,Tangrowth,Noctowl
870,Jolteon,Archeops,Jolteon
871,Grovyle,Wingull,Grovyle
872,Scraggy,Ho-oh,Ho-oh
873,Litwick,Whismur,Whismur
874,Heat Rotom,Aromatisse,Heat Rotom
875,Bonsly,Gallade,Gallade
876,Kecleon,Dratini,Dratini
877,Oddish,Gothita,Gothita
878,Xerneas,Barboach,Xerneas
879,Dodrio,Mega Lopunny,Mega Lopunny
880,Simisage,Numel,Simisage
881,Kyogre,Mr. Mime,Mr. Mime
882,Ludicolo,Throh,Ludicolo
883,Sylveon,Azurill,Sylveon
884,Kecleon,Azurill,Kecleon
885,Glaceon,Magmortar,Magmortar
886,Dusclops,Meowstic Male,Meowstic Male
887,Larvesta,Shellder,Larvesta
888,Ambipom,Lombre,Ambipom
889,Elgyem,Mega Diancie,Mega Diancie
890,Swanna,Crustle,Swanna
891,Luxio,Cobalion,Cobalion
892,Zebstrika,Luxio,Zebstrika
893,Houndour,Charizard,Charizard
894,Krookodile,Gothitelle,Krookodile
895,Metapod,Spinarak,Spinarak
896,Yamask,Poliwrath,Poliwrath
897,Mudkip,Meloetta Aria Form,Meloetta Aria Form
898,Chikorita,Skrelp,Chikorita
899,Articuno,Gyarados,Articuno
900,Feraligatr,Hydreigon,Hydreigon
901,Noibat,Rapidash,Rapidash
902,Venonat,Murkrow,Murkrow
903,Gloom,Luvdisc,Gloom
904,Boldore,Combee,Boldore
905,Cubchoo,Volbeat,Volbeat
906,Seviper,Chimecho,Chimecho
907,Arbok,Bellossom,Arbok
908,Luvdisc,Huntail,Huntail
909,Carracosta,Totodile,Totodile
910,Chandelure,Wynaut,Chandelure
911,Spinda,Joltik,Joltik
912,Lickitung,Reshiram,Reshiram
913,Frillish,Mega Mewtwo X,Frillish
914,Slowpoke,Claydol,Slowpoke
915,Volcarona,Cranidos,Volcarona
916,Prinplup,Darumaka,Darumaka
917,Luvdisc,Palkia,Palkia
918,Venipede,Mega Gyarados,Mega Gyarados
919,Shuckle,Yanma,Yanma
920,Empoleon,Mega Medicham,Mega Medicham
921,Hitmonchan,Avalugg,Hitmonchan
922,Kirlia,Aegislash Shield Form,Aegislash Shield Form
923,Nidoking,Snubbull,Nidoking
924,Magnezone,Swadloon,Magnezone
925,Archeops,Machoke,Archeops
926,Unown,Archen,Archen
927,Miltank,Mega Pidgeot,Mega Pidgeot
928,Krokorok,Igglybuff,Krokorok
929,Palpitoad,Shuppet,Palpitoad
930,Snivy,Mienshao,Mienshao
931,Mega Mewtwo Y,Lickilicky,Mega Mewtwo Y
932,Heliolisk,Wynaut,Heliolisk
933,Gabite,Lileep,Gabite
934,Manectric,Wormadam Sandy Cloak,Manectric
935,Zubat,Kyurem,Kyurem
936,Dwebble,Luxray,Luxray
937,Drowzee,Throh,Throh
938,Mandibuzz,Horsea,Mandibuzz
939,Machoke,Heatmor,Heatmor
940,Jigglypuff,Nincada,Nincada
941,Tympole,Aurorus,Tympole
942,Conkeldurr,Chimecho,Chimecho
943,Gengar,Venonat,Gengar
944,Gogoat,Eelektross,Gogoat
945,Volbeat,Bagon,Volbeat
946,Infernape,Venipede,Infernape
947,Exeggcute,Lotad,Exeggcute
948,Cherubi,Minun,Minun
949,Mega Gallade,Yveltal,Yveltal
950,Weavile,Wormadam Trash Cloak,Weavile
951,Groudon,Venipede,Groudon
952,Milotic,Fan Rotom,Fan Rotom
953,Diglett,Zygarde 50% Form,Zygarde 50% Form
954,Cascoon,Skarmory,Skarmory
955,Timburr,Lairon,Lairon
956,Wailord,Hydreigon,Hydreigon
957,Togekiss,Crobat,Crobat
958,Croagunk,Rayquaza,Rayquaza
959,Pidgey,Swadloon,Pidgey
960,Volbeat,Scrafty,Volbeat
961,Steelix,Qwilfish,Qwilfish
962,Dratini,Camerupt,Dratini
963,Chatot,Mega Pidgeot,Mega Pidgeot
964,Zapdos,Grovyle,Zapdos
965,White Kyurem,Aron,White Kyurem
966,Mega Metagross,Electivire,Mega Metagross
967,Gyarados,Uxie,Uxie
968,White Kyurem,Wobbuffet,White Kyurem
969,Treecko,Helioptile,Helioptile
970,Muk,Terrakion,Terrakion
971,Leavanny,Budew,Leavanny
972,Magnezone,Duosion,Magnezone
973,Palkia,Darumaka,Palkia
974,Primeape,Spheal,Primeape
975,Beartic,Mega Gyarados,Mega Gyarados
976,Grovyle,Darumaka,Darumaka
977,Noivern,Lucario,Noivern
978,Gigalith,Aegislash Blade Form,Aegislash Blade Form
979,Mega Garchomp,Happiny,Mega Garchomp
980,Mega Blaziken,Golem,Mega Blaziken
981,Beautifly,Venonat,Beautifly
982,Machop,Regirock,Regirock
983,Froslass,Ferroseed,Froslass
984,Mega Scizor,Haxorus,Haxorus
985,Rampardos,Froslass,Froslass
986,Klang,Feebas,Klang
987,Vespiquen,Aegislash Blade Form,Aegislash Blade Form
988,Simisage,Gengar,Gengar
989,Umbreon,Heracross,Heracross
990,Audino,Gastly,Gastly
991,Shellos,Smoochum,Smoochum
992,Quilladin,Octillery,Quilladin
993,Armaldo,Pumpkaboo Large Size,Pumpkaboo Large Size
994,Articuno,Mamoswine,Articuno
995,Bulbasaur,Bisharp,Bisharp
996,Baltoy,Swellow,Swellow
997,Eelektrik,Herdier,Herdier
998,Avalugg,Kangaskhan,Kangaskhan
999,Torkoal,Chimchar,Chimchar
1000,Keldeo Resolute Form,Starly,Keldeo Resolute Form
1001,Regirock,Talonflame,Regirock
1002,Misdreavus,Flaaffy,Misdreavus
1003,Togekiss,Cobalion,Cobalion
1004,Togetic,Hitmonchan,Hitmonchan
1005,Granbull,Pansear,Pansear
1006,Golem,Gogoat,Gogoat
1007,Klink,Altaria,Altaria
1008,Tyrunt,Metapod,Tyrunt
1009,Herdier,Unown,Herdier
1010,Mega Sceptile,Dwebble,Mega Sceptile
1011,Solrock,Pikachu,Pikachu
1012,Mewtwo,Shellos,Mewtwo
1013,Zweilous,Simipour,Simipour
1014,Mewtwo,Mr. Mime,Mewtwo
1015,Munchlax,Loudred,Munchlax
1016,Beartic,Krookodile,Krookodile
1017,Mega Mewtwo X,Gyarados,Mega Mewtwo X
1018,Solosis,Dewott,Dewott
1019,Mega Pinsir,Mega Heracross,Mega Pinsir
1020,Swampert,Metagross,Metagross
1021,Granbull,Raichu,Raichu
1022,Scolipede,Trapinch,Scolipede
1023,Deoxys Normal Form,Crawdaunt,Deoxys Normal Form
1024,Mightyena,Pidgey,Mightyena
1025,Volcanion,Kyogre,Kyogre
1026,Lucario,Marill,Lucario
1027,Murkrow,Anorith,Murkrow
1028,Accelgor,Seel,Accelgor
1029,Swadloon,Omanyte,Swadloon
1030,Mewtwo,Cubchoo,Mewtwo
1031,Golett,Floatzel,Floatzel
1032,Zangoose,Baltoy,Zangoose
1033,Pinsir,Kabutops,Pinsir
1034,Pangoro,Houndoom,Houndoom
1035,Swampert,Medicham,Medicham
1036,Marshtomp,Linoone,Linoone
1037,Landorus Therian Form,Vanilluxe,Landorus Therian Form
1038,White Kyurem,Kingdra,White Kyurem
1039,Frillish,Diglett,Diglett
1040,Bulbasaur,Serperior,Serperior
1041,Heatran,Dragalge,Heatran
1042,Staryu,Plusle,Plusle
1043,Arcanine,Glaceon,Arcanine
1044,Feraligatr,Samurott,Feraligatr
1045,Articuno,Rattata,Articuno
1046,Surskit,Electrode,Electrode
1047,Krabby,Umbreon,Umbreon
1048,Omanyte,Meloetta Pirouette Form,Meloetta Pirouette Form
1049,Charmander,Lickitung,Charmander
1050,Totodile,Simipour,Simipour
1051,Ludicolo,Metang,Ludicolo
1052,Honedge,Mienshao,Mienshao
1053,Poochyena,Ninetales,Ninetales
1054,Garchomp,Castform,Garchomp
1055,Pikachu,Mandibuzz,Pikachu
1056,Joltik,Clamperl,Joltik
1057,Stunky,Shelmet,Stunky
1058,Barboach,Cottonee,Cottonee
1059,Spewpa,Delphox,Delphox
1060,Tyranitar,Empoleon,Tyranitar
1061,Natu,Pidgey,Natu
1062,Mankey,Simipour,Simipour
1063,Seviper,Kricketot,Seviper
1064,Illumise,Azurill,Illumise
1065,Shiftry,Mega Salamence,Mega Salamence
1066,Rufflet,Pinsir,Pinsir
1067,Rayquaza,Golem,Rayquaza
1068,Mega Venusaur,Mega Gardevoir,Mega Gardevoir
1069,Venonat,Wormadam Sandy Cloak,Venonat
1070,Meloetta Pirouette Form,Furret,Meloetta Pirouette Form
1071,Koffing,Floette,Floette
1072,Mega Sharpedo,Mega Venusaur,Mega Sharpedo
1073,Skitty,Shiftry,Shiftry
1074,Sableye,Luvdisc,Luvdisc
1075,Spiritomb,Ducklett,Ducklett
1076,Clauncher,Chatot,Chatot
1077,Durant,Watchog,Durant
1078,Marill,Shuckle,Marill
1079,Butterfree,Venomoth,Venomoth
1080,Luxray,Seismitoad,Seismitoad
1081,Paras,Charmeleon,Charmeleon
1082,Gourgeist Super Size,Jirachi,Jirachi
1083,Skuntank,Luxray,Skuntank
1084,Haunter,Electivire,Electivire
1085,Mega Houndoom,Mega Diancie,Mega Houndoom
1086,Lampent,Starmie,Starmie
1087,Keldeo Resolute Form,Machop,Keldeo Resolute Form
1088,Bergmite,Snorlax,Snorlax
1089,Mega Sharpedo,Honedge,Mega Sharpedo
1090,Shaymin Land Form,Hawlucha,Hawlucha
1091,Zangoose,Illumise,Zangoose
1092,Heracross,Relicanth,Heracross
1093,Mega Latios,Snorlax,Mega Latios
1094,Mega Gengar,Pachirisu,Mega Gengar
1095,Unfezant,Shiftry,Unfezant
1096,Pancham,Mega Latios,Mega Latios
1097,Quilava,Rampardos,Rampardos
1098,Mega Gyarados,Dewott,Mega Gyarados
1099,Alomomola,Nidoqueen,Nidoqueen
1100,Stunfisk,Chesnaught,Chesnaught
1101,Flygon,Mega Gallade,Mega Gallade
1102,Roserade,Oshawott,Roserade
1103,Illumise,Totodile,Illumise
1104,Porygon-Z,Terrakion,Terrakion
1105,Mamoswine,Geodude,Mamoswine
1106,Swablu,Delibird,Delibird
1107,Lombre,Silcoon,Lombre
1108,Mega Gardevoir,Cubone,Mega Gardevoir
1109,Conkeldurr,Walrein,Walrein
1110,Manaphy,Sawk,Manaphy
1111,Octillery,Mega Ampharos,Mega Ampharos
1112,Tornadus Incarnate Form,Rayquaza,Tornadus Incarnate Form
1113,Woobat,Wormadam Trash Cloak,Wormadam Trash Cloak
1114,Graveler,Combusken,Combusken
1115,Zebstrika,Giratina Altered Form,Zebstrika
1116,Latios,Mega Absol,Mega Absol
1117,Starmie,Weavile,Weavile
1118,Crawdaunt,Toxicroak,Toxicroak
1119,Yanma,Hitmonlee,Yanma
1120,Slowking,Sewaddle,Sewaddle
1121,Drapion,Klang,Klang
1122,Articuno,Tentacool,Articuno
1123,Mega Ampharos,Hoopa Unbound,Hoopa Unbound
1124,Hippowdon,Braviary,Braviary
1125,Flareon,Hypno,Hypno
1126,Chandelure,Genesect,Genesect
1127,Solosis,Combusken,Combusken
1128,Mega Aggron,Klefki,Klefki
1129,Quagsire,Garchomp,Garchomp
1130,Barbaracle,Snorunt,Barbaracle
1131,Watchog,Darmanitan Standard Mode,Darmanitan Standard Mode
1132,Meloetta Aria Form,Ludicolo,Meloetta Aria Form
1133,Mega Venusaur,Yveltal,Yveltal
1134,Gourgeist Average Size,Wobbuffet,Gourgeist Average Size
1135,Bidoof,Clawitzer,Clawitzer
1136,Shedinja,Gengar,Gengar
1137,Blissey,Gourgeist Large Size,Gourgeist Large Size
1138,Ivysaur,Thundurus Incarnate Form,Thundurus Incarnate Form
1139,Mega Salamence,Yanma,Mega Salamence
1140,Palpitoad,Mienshao,Mienshao
1141,Pyroar,Terrakion,Terrakion
1142,Kirlia,Dratini,Dratini
1143,Gothitelle,Shroomish,Gothitelle
1144,Primeape,Jirachi,Jirachi
1145,Beartic,Numel,Beartic
1146,Cranidos,Venomoth,Venomoth
1147,Dusclops,Piplup,Piplup
1148,Nincada,Hitmonlee,Hitmonlee
1149,Cacturne,Wingull,Cacturne
1150,Mega Diancie,Cubone,Mega Diancie
1151,Weavile,Dragonite,Weavile
1152,Mareep,Clauncher,Clauncher
1153,Squirtle,Zapdos,Zapdos
1154,Aromatisse,Grotle,Grotle
1155,Mega Scizor,Golduck,Golduck
1156,Mandibuzz,Quagsire,Mandibuzz
1157,Swinub,Clefairy,Swinub
1158,Staryu,Snubbull,Snubbull
1159,Stantler,Articuno,Articuno
1160,Cubchoo,Beldum,Cubchoo
1161,Pelipper,Purrloin,Purrloin
1162,Wormadam Trash Cloak,Samurott,Samurott
1163,Herdier,Flygon,Flygon
1164,Cresselia,Cubchoo,Cresselia
1165,Crobat,Parasect,Crobat
1166,Gloom,Mothim,Mothim
1167,Galvantula,Snubbull,Galvantula
1168,Ludicolo,Mega Medicham,Mega Medicham
1169,Deoxys Defense Form,Meganium,Deoxys Defense Form
1170,Tepig,Jirachi,Jirachi
1171,Bastiodon,Larvitar,Larvitar
1172,Alakazam,Ampharos,Alakazam
1173,Frillish,Vivillon,Vivillon
1174,Onix,Togepi,Onix
1175,Bonsly,Baltoy,Baltoy
1176,Heatran,Garbodor,Heatran
1177,Binacle,Kadabra,Kadabra
1178,Mega Alakazam,Spinarak,Mega Alakazam
1179,Mega Altaria,Kangaskhan,Kangaskhan
1180,Piplup,Glaceon,Glaceon
1181,Zygarde 50% Form,Cacturne,Zygarde 50% Form
1182,Krabby,Kyurem,Kyurem
1183,Smeargle,Nuzleaf,Smeargle
1184,Poliwrath,Scraggy,Poliwrath
1185,Mantine,Barboach,Mantine
1186,Volcanion,Sentret,Volcanion
1187,Lucario,Jynx,Jynx
1188,Abra,Zangoose,Zangoose
1189,Mega Gengar,Armaldo,Mega Gengar
1190,Ekans,Unown,Ekans
1191,Deino,Spinda,Spinda
1192,Arcanine,Primal Groudon,Arcanine
1193,Mega Kangaskhan,Misdreavus,Misdreavus
1194,Ambipom,Shieldon,Ambipom
1195,Altaria,Entei,Entei
1196,Mega Aggron,Pupitar,Pupitar
1197,Mega Mewtwo Y,Bronzong,Mega Mewtwo Y
1198,Prinplup,Groudon,Groudon
1199,Altaria,Reshiram,Reshiram
1200,Aggron,Forretress,Aggron
1201,Kyurem,Croconaw,Kyurem
1202,Frogadier,Goomy,Frogadier
1203,Mega Mewtwo X,Articuno,Mega Mewtwo X
1204,Mismagius,Slowbro,Mismagius
1205,Petilil,Serperior,Serperior
1206,Groudon,Mega Manectric,Groudon
1207,Barbaracle,Clawitzer,Barbaracle
1208,Shelmet,Barboach,Barboach
1209,Mega Sableye,Nidorino,Nidorino
1210,Kingdra,Mandibuzz,Kingdra
1211,Duskull,Politoed,Politoed
1212,Noibat,Sylveon,Sylveon
1213,Cinccino,Hydreigon,Cinccino
1214,Drapion,Cottonee,Drapion
1215,Monferno,Charmander,Monferno
1216,Volbeat,Shinx,Volbeat
1217,Primal Kyogre,Gyarados,Primal Kyogre
1218,Tornadus Incarnate Form,Cloyster,Tornadus Incarnate Form
1219,Pignite,Mega Blaziken,Mega Blaziken
1220,Rotom,Mega Manectric,Mega Manectric
1221,Cacturne,Helioptile,Helioptile
1222,Excadrill,Gyarados,Excadrill
1223,Delcatty,Meloetta Pirouette Form,Meloetta Pirouette Form
1224,Wurmple,Cleffa,Wurmple
1225,Uxie,Paras,Uxie
1226,Mega Gallade,Manaphy,Mega Gallade
1227,Samurott,Politoed,Politoed
1228,Ducklett,Absol,Absol
1229,Chikorita,Leafeon,Leafeon
1230,Seadra,Wailord,Seadra
1231,Emolga,Budew,Emolga
1232,Feraligatr,Cascoon,Feraligatr
1233,Escavalier,Vigoroth,Escavalier
1234,Doublade,Inkay,Inkay
1235,Moltres,Salamence,Salamence
1236,Pangoro,Probopass,Pangoro
1237,Growlithe,Kabutops,Kabutops
1238,Frillish,Mega Mewtwo X,Frillish
1239,Dedenne,Zekrom,Dedenne
1240,Charmeleon,Latias,Latias
1241,Unfezant,Salamence,Salamence
1242,Doduo,Aron,Aron
1243,Larvitar,Ralts,Larvitar
1244,Tornadus Therian Form,Ledian,Tornadus Therian Form
1245,Illumise,Snorlax,Snorlax
1246,Meloetta Pirouette Form,Prinplup,Meloetta Pirouette Form
1247,Graveler,Grimer,Graveler
1248,Masquerain,Fletchling,Fletchling
1249,Farfetch'd,Wailmer,Wailmer
1250,Druddigon,Gulpin,Druddigon
1251,Bayleef,Huntail,Bayleef
1252,Carracosta,Basculin White-Striped Form,Basculin White-Striped Form
1253,Azurill,Mow Rotom,Mow Rotom
1254,Dratini,Jumpluff,Jumpluff
1255,Kricketune,Skiploom,Skiploom
1256,Kangaskhan,Drowzee,Kangaskhan
1257,Gliscor,Makuhita,Gliscor
1258,Sewaddle,Volcarona,Volcarona
1259,Swampert,Snubbull,Swampert
1260,Lotad,Kirlia,Kirlia
1261,Happiny,Lucario,Lucario
1262,Simisage,Suicune,Simisage
1263,Fearow,Phione,Fearow
1264,Mega Houndoom,Reuniclus,Mega Houndoom
1265,Trevenant,Linoone,Linoone
1266,Gourgeist Small Size,Basculin White-Striped Form,Gourgeist Small Size
1267,Mega Aerodactyl,Abomasnow,Mega Aerodactyl
1268,Reshiram,Steelix,Reshiram
1269,Mega Scizor,Tauros,Tauros
1270,Cherubi,Shaymin Land Form,Shaymin Land Form
1271,Mega Pidgeot,Dugtrio,Mega Pidgeot
1272,Zebstrika,Krookodile,Krookodile
1273,Chatot,Palkia,Palkia
1274,Darumaka,Sandslash,Sandslash
1275,Frillish,Torkoal,Torkoal
1276,Binacle,Staravia,Staravia
1277,Bisharp,Luvdisc,Bisharp
1278,Deerling,Meowstic Male,Meowstic Male
1279,Giratina Origin Form,Ledian,Giratina Origin Form
1280,Emboar,Sawk,Sawk
1281,Garbodor,Deoxys Speed Form,Deoxys Speed Form
1282,Shinx,Durant,Durant
1283,Hippowdon,Roserade,Roserade
1284,Accelgor,Masquerain,Accelgor
1285,Deerling,Herdier,Deerling
1286,Ducklett,Venipede,Venipede
1287,Boldore,Inkay,Inkay
1288,Walrein,Serperior,Serperior
1289,Reshiram,Goodra,Reshiram
1290,Squirtle,Mega Slowbro,Squirtle
1291,Wormadam Sandy Cloak,Pidove,Pidove
1292,Misdreavus,Ambipom,Ambipom
1293,Druddigon,Dratini,Dratini
1294,Conkeldurr,Mienfoo,Mienfoo
1295,Chingling,Tranquill,Tranquill
1296,Bergmite,Noctowl,Noctowl
1297,Mega Aerodactyl,Exploud,Mega Aerodactyl
1298,Snubbull,Mega Gengar,Mega Gengar
1299,Probopass,Ivysaur,Ivysaur
1300,Heracross,Mega Alakazam,Heracross
1301,Misdreavus,Lumineon,Lumineon
1302,Vanillish,Registeel,Vanillish
1303,Salamence,Electrode,Electrode
1304,Scyther,Simipour,Scyther
1305,Garbodor,Darmanitan Standard Mode,Darmanitan Standard Mode
1306,Manaphy,Moltres,Manaphy
1307,Jirachi,Spoink,Jirachi
1308,Binacle,Clamperl,Binacle
1309,Carracosta,Drifloon,Carracosta
1310,Huntail,Roselia,Roselia
1311,Krabby,Foongus,Krabby
1312,Gible,Misdreavus,Misdreavus
1313,Sunflora,Rufflet,Rufflet
1314,Mega Charizard X,Alomomola,Mega Charizard X
1315,Vivillon,Frogadier,Frogadier
1316,Pignite,Torchic,Pignite
1317,Gloom,Shellos,Gloom
1318,Stoutland,Mega Camerupt,Stoutland
1319,Ninetales,Metapod,Ninetales
1320,Spiritomb,Beldum,Spiritomb
1321,Galvantula,Barbaracle,Galvantula
1322,Mega Abomasnow,Lopunny,Mega Abomasnow
1323,Shroomish,Mega Pinsir,Mega Pinsir
1324,Zekrom,Barbaracle,Zekrom
1325,Mega Abomasnow,Furfrou,Furfrou
1326,Mega Garchomp,Dragonite,Dragonite
